"pitches","player_id","player_name","game_date","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance"
"31",628711,"Urías, Julio","2021-04-20","88","35.2","0.000","0.000","0.000","0.000","0.000","0.064","0.066","0","10","90.5","35.0","2943","82.5","81.63","9","17","14","-0.9","5.60","113","157","116","148","292","312","277"
"31",607188,"Faria, Jake","2021-07-03","74","41.9","0.222","0.333","0.333","0.556","0.350","0.229","0.141","2","9","85.7","15.3","2246","76.2","75.17","1","11","20","-1.0","6.14","111","152","103","152","303","324","299"
"31",448179,"Hill, Rich","2021-08-27","91","34.1","0.222","0.111","0.333","0.333","0.284","0.351","0.261","2","9","84.1","6.7","2713","71.6","70.62","4","16","15","-1.0","5.94","104","151","111","147","299","325","291"
"31",608331,"Fried, Max","2021-07-28","106","29.2","0.111","0.333","0.000","0.444","0.270","0.238","0.098","1","9","96.4","40.3","2691","74.6","74.02","6","11","20","-0.6","6.12","107","153","128","150","306","346","298"
"31",448179,"Hill, Rich","2021-09-13","83","37.3","0.375","0.250","0.429","0.625","0.475","0.335","0.235","3","8","82.2","22.4","2782","71.8","70.24","1","15","16","-1.6","5.96","109","156","106","146","307","327","298"
"31",571760,"Heaney, Andrew","2021-05-06","110","28.2","0.000","0.000","0.000","0.000","0.000","0.027","0.025","0","5","77.6","9.5","2619","79.5","78.61","3","11","20","-0.9","5.81","116","160","117","149","298","325","295"
"31",621244,"Berríos, José","2021-04-26","83","37.3","0.364","0.091","0.400","0.455","0.353","0.379","0.397","4","11","82.5","3.4","2310","83.9","83.83","3","13","18","-0.1","6.31","104","158","121","148","295","323","291"
"31",605397,"Musgrove, Joe","2021-07-29","91","34.1","0.000","0.000","0.000","0.000","0.077","0.162","0.103","0","8","95.0","-6.0","2837","82.8","81.55","8","15","16","-1.3","5.76","116","148","149","131","289","322","318"
"31",666200,"Luzardo, Jesús","2021-09-14","86","36.0","0.286","0.143","0.286","0.429","0.303","0.233","0.229","2","7","90.0","15.1","2138","83.0","82.02","0","13","18","-1.0","5.35","108","151","123","150","290","312","285"
"31",621244,"Berríos, José","2021-04-08","99","31.3","0.167","0.500","0.000","0.667","0.334","0.521","0.344","1","6","90.3","27.8","2405","83.4","83.10","1","8","23","-0.3","6.17","112","164","121","150","312","334","296"
